56,851689
132,1985758
462,6439257
462,6469005
132,1996087
132,1945575
56,858241
132,1943927
462,6231259
12,219166
30,475995
56,894500
90,1371409
132,2014346
182,2454959
240,3501579
306,4110339
380,5332951
462,6437890
552,7543384
650,7798617
756,9864150
870,9739041
992,12112182
1122,15385047
1260,15614807
1406,16575251
1560,18983778
1722,22023977
1892,24481754
2070,24504128
2256,28981294
2450,31162360
9900,119477195
56,878833
132,1991800
462,6528627
462,5705050
132,1914926
132,1937733
56,834456
132,1695079
462,6734417
12,303199
30,485995
56,884272
90,1398836
132,1971998
182,2681892
240,3463357
306,4378688
380,4846380
462,6331325
552,7608631
650,8968172
756,9771880
870,11890184
992,12862878
1122,14895754
1260,16369580
1406,19227788
1560,20905237
1722,21334891
1892,23038779
2070,27692677
2256,26245693
2450,31451270
2652,34187088
2862,35922692
3080,56,894746
132,2018200
462,6877661
462,6942933
132,2210004
132,2634055
56,941304
132,2186045
462,6866704
12,252914
30,526797
56,1381370
90,1614937
132,2337588
182,2975603
240,3940571
306,4574378
380,5598069
462,6750766
552,8182786
650,9405035
756,10959129
870,12786222
992,14911050
1122,16536136
1260,18227974
1406,20093846
1560,22488577
1722,24858877
1892,27449084
2070,29693081
2256,32440872
2450,35489014
2652,37647658
2862,41210772
3080,462,6691608
462,6843574
462,6603704
56,462,6725133
462,6895285
462,6911060
56,1022584
132,2152151
462,7133503
12,223904
30,520246
56,1070051
90,1446359
132,2279825
182,3141069
240,462,6718908
462,6773807
462,6522373
56,868321
132,1983615
462,6883798
12,220261
30,479011
56,905023
90,1398424
132,2017442
182,2752505
240,3577689
306,4707648
380,5680223
462,6706025
552,7918304
650,9525623
756,10954909
870,12651921
992,14862169
1122,15584225
1260,17281187
1406,19839262
1560,21740245
1722,24104534
1892,26324954
2070,28731016
2256,31476230
2450,34640922
2652,36802133
2862,39651240
3080,42556792
3306,462,2426975
462,2485687
462,2346647
56,318529
132,712394
462,2346239
12,81523
30,173236
56,307804
90,511935
132,710724
182,973946
240,1274962
306,1621099
380,1978410
462,2411576
552,2866790
650,3337264
756,3847428
870,4425462
992,4946884
1122,5656683
1260,6258721
1406,7077473
1560,462,2619841
462,
